SN,Date,LTP,%change,High,Low,Open,Qty.,Turnover
1,2023/12/21,579.80,-7.44,637.00,576.00,613.90,"142,338","83,534,318.20"
2,2023/12/20,626.40,5.24,626.40,567.00,577.00,"148,885","87,445,390.40"
3,2023/12/19,573.00,-1.16,575.00,540.00,568.20,"147,141","82,126,464.00"
4,2023/12/17,527.00,-0.38,527.00,502.10,518.50,"52,501","27,360,132.80"
5,2023/12/14,529.00,-1.12,534.50,523.10,526.00,"40,145","21,188,968.80"
6,2023/12/13,535.00,-1.83,555.90,531.50,555.90,"44,435","24,053,895.70"
7,2023/12/12,545.00,0.55,552.80,532.20,552.00,"80,529","44,052,469.40"
8,2023/12/11,542.00,0,550.00,520.00,550.00,"112,438","59,762,382.60"
9,2023/12/10,542.00,6.9,547.00,517.10,517.10,"6,573","3,543,184.30"
10,2023/12/07,507.00,2.22,511.00,487.10,496.00,"28,712","14,489,560.20"
11,2023/12/06,496.00,0.81,498.00,487.20,493.00,"13,854","6,822,627.60"
12,2023/12/05,492.00,-1.4,507.90,486.70,490.00,"23,778","11,763,171.60"
13,2023/12/04,499.00,0.81,504.00,488.00,495.00,"16,130","8,045,922.70"
14,2023/12/03,495.00,0,495.00,485.10,495.00,"9,740","4,755,518.90"
15,2023/11/30,495.00,-0.28,496.90,487.00,496.40,"11,765","5,768,555.00"
16,2023/11/29,496.40,-2.03,512.00,494.00,506.70,"13,150","6,562,329.40"
17,2023/11/28,506.70,-1.42,517.90,497.60,514.00,"31,690","15,878,603.50"
18,2023/11/27,514.00,-0.58,527.30,506.60,527.30,"17,858","9,169,673.10"
19,2023/11/26,517.00,4.23,518.00,490.00,496.00,"33,278","17,024,805.30"
20,2023/11/23,496.00,4.25,498.00,467.00,467.00,"15,648","7,613,603.10"
21,2023/11/22,475.80,1.26,475.90,465.00,469.90,"10,236","4,811,276.60"
22,2023/11/21,469.90,-0.86,483.40,466.10,483.40,"9,082","4,251,714.20"
23,2023/11/20,474.00,1.28,476.40,468.00,470.00,"9,409","4,424,809.80"
24,2023/11/09,468.00,-1.89,479.60,465.00,470.00,"6,263","2,934,406.20"
25,2023/11/08,477.00,-0.62,480.00,470.40,470.40,"5,714","2,709,924.20"
26,2023/11/07,480.00,0.63,485.00,468.00,468.00,"12,041","5,782,265.80"
27,2023/11/06,477.00,1.92,480.00,468.00,468.00,"3,214","1,523,179.60"
28,2023/11/05,468.00,-1.89,477.00,460.00,477.00,"7,426","3,453,122.50"
29,2023/11/02,477.00,-0.83,481.00,469.00,481.00,"32,374","15,345,200.00"
30,2023/11/01,481.00,0.21,487.00,472.00,472.00,"15,338","7,346,498.90"
31,2023/10/31,480.00,-3.96,498.00,479.30,490.00,"35,212","17,011,487.90"
32,2023/10/30,499.80,0.77,499.90,482.00,496.00,"4,293","2,101,865.30"
33,2023/10/29,496.00,-1.78,505.00,490.00,505.00,"7,162","3,532,247.30"
34,2023/10/19,505.00,-2.32,516.00,505.00,510.00,"5,618","2,857,686.00"
35,2023/10/18,517.00,3.82,517.00,491.00,498.00,"19,289","9,845,156.70"
36,2023/10/17,498.00,1.24,509.70,490.00,490.00,"10,296","5,160,839.20"
37,2023/10/16,491.90,-2.57,509.00,491.00,498.00,"15,405","7,629,593.50"
38,2023/10/12,504.90,-1.17,510.90,500.70,510.90,"13,946","7,004,483.90"
39,2023/10/11,510.90,0.57,512.00,498.00,508.00,"20,094","10,140,937.60"
40,2023/10/10,508.00,-1.32,517.90,500.30,514.80,"19,313","9,790,589.90"
41,2023/10/09,514.80,-0.79,525.00,507.00,518.90,"18,814","9,629,676.70"
42,2023/10/08,518.90,-2.15,530.30,515.00,530.30,"19,025","9,905,199.60"
43,2023/10/05,530.30,-1.61,539.00,530.10,539.00,"27,690","14,747,146.00"
44,2023/10/04,539.00,1.32,543.00,528.00,528.00,"6,695","3,584,799.80"
45,2023/10/03,532.00,-1.37,540.00,531.00,539.40,"15,132","8,050,288.50"
46,2023/10/02,539.40,1.11,542.90,524.00,525.00,"18,948","10,096,716.10"
47,2023/10/01,533.50,-2.02,537.70,530.00,537.10,"17,303","9,215,395.00"
48,2023/09/27,544.50,-1.93,565.00,544.00,565.00,"17,287","9,445,259.40"
49,2023/09/26,555.20,0.58,563.00,554.00,561.90,"21,309","11,878,629.90"
50,2023/09/25,552.00,-0.9,564.90,546.00,557.00,"24,837","13,787,003.20"
51,2023/09/24,557.00,-0.36,565.00,548.10,561.00,"37,227","20,765,233.90"
52,2023/09/21,559.00,4.66,566.20,536.00,544.70,"41,568","23,075,471.80"
53,2023/09/19,534.10,0.77,554.90,525.00,540.00,"21,071","11,365,477.30"
54,2023/09/18,530.00,0.38,535.00,525.00,528.00,"12,099","6,421,628.70"
55,2023/09/17,528.00,-4.17,546.00,528.00,546.00,"25,930","13,876,318.30"
56,2023/09/13,551.00,3.38,551.90,532.00,533.00,"19,979","10,909,241.40"
57,2023/09/12,533.00,-0.56,542.90,528.30,536.00,"26,699","14,316,986.20"
58,2023/09/10,518.20,0.82,525.00,514.00,514.00,"24,496","12,728,372.40"
59,2023/09/07,514.00,-1.72,525.00,514.00,523.00,"26,241","13,520,409.10"
60,2023/09/05,523.00,-1.32,539.00,520.10,536.90,"21,893","11,479,275.70"
61,2023/09/04,530.00,-0.04,537.90,523.00,530.20,"26,996","14,277,552.10"
62,2023/09/03,530.20,-2.89,546.70,530.00,535.90,"25,530","13,684,149.00"
63,2023/08/30,546.00,-0.18,554.00,542.00,547.00,"20,328","11,072,824.00"
64,2023/08/29,547.00,0.9,547.90,535.50,535.50,"15,655","8,531,783.50"
65,2023/08/28,542.10,-0.17,550.00,541.00,549.00,"19,672","10,744,426.50"
66,2023/08/24,549.00,-2.16,565.00,544.00,561.10,"34,643","19,197,202.10"
67,2023/08/23,561.10,2.94,566.00,552.30,556.00,"25,125","14,118,510.50"
68,2023/08/22,545.10,-0.18,559.90,539.00,557.00,"32,843","17,897,879.30"
69,2023/08/21,546.10,-1.07,558.90,546.10,548.00,"31,811","17,509,075.20"
70,2023/08/20,552.00,-1.6,566.00,550.00,561.00,"26,869","14,875,818.20"
71,2023/08/17,561.00,1.08,567.00,555.00,566.00,"51,580","28,906,119.40"
72,2023/08/16,555.00,-2.12,567.00,555.00,567.00,"29,520","16,486,666.20"
73,2023/08/15,567.00,-2.39,580.90,563.50,580.90,"21,265","12,119,178.10"
74,2023/08/14,580.90,-0.53,593.00,574.10,589.00,"37,485","21,963,462.50"
75,2023/08/13,584.00,2.28,591.60,567.30,568.00,"56,695","32,844,714.10"
76,2023/08/10,571.00,0.53,580.00,565.00,568.00,"30,842","17,728,828.00"
77,2023/08/09,568.00,2.77,570.00,548.60,552.70,"46,538","25,816,294.70"
78,2023/08/08,552.70,-1.83,574.00,548.20,570.00,"47,564","26,481,757.10"
79,2023/08/07,563.00,-0.9,579.10,561.60,570.00,"23,362","13,298,825.20"
80,2023/08/06,568.10,-3.55,590.00,561.20,589.00,"47,743","27,225,489.20"
81,2023/08/03,589.00,0.86,607.40,583.40,595.50,"48,895","28,806,807.90"
82,2023/08/02,584.00,1.74,584.00,567.10,574.00,"34,799","20,044,622.40"
83,2023/08/01,574.00,-2.71,610.90,568.00,599.50,"62,212","36,266,230.80"
84,2023/07/31,590.00,1.71,600.00,580.00,580.10,"25,601","15,146,939.50"
85,2023/07/30,580.10,-2.34,605.80,579.20,604.00,"101,444","59,505,442.30"
86,2023/07/27,594.00,-2.3,615.00,592.00,608.00,"65,045","39,038,465.30"
87,2023/07/26,608.00,-0.16,617.90,604.10,609.00,"55,717","33,992,565.10"
88,2023/07/25,609.00,-2.4,629.00,608.30,624.00,"59,017","36,248,005.10"
89,2023/07/24,624.00,-0.95,633.00,620.00,630.00,"58,605","36,682,227.50"
90,2023/07/23,630.00,1.45,636.00,618.00,629.00,"48,763","30,630,924.10"
91,2023/07/20,621.00,-1.43,635.90,618.10,620.00,"49,922","31,087,993.00"
92,2023/07/19,630.00,-0.16,639.80,621.10,621.10,"54,187","34,149,167.50"
93,2023/07/18,631.00,1.45,640.20,621.00,622.00,"109,534","69,184,309.40"
94,2023/07/17,622.00,1.97,625.00,609.00,610.00,"42,837","26,480,422.10"
95,2023/07/16,610.00,-0.26,627.90,604.70,623.80,"42,814","26,293,965.30"
96,2023/07/13,611.60,-2.44,637.00,611.60,630.00,"58,784","36,653,762.10"
97,2023/07/12,626.90,2.1,638.70,614.00,614.00,"66,632","41,650,288.50"
101,2023/07/11,614.00,-1.46,625.50,614.00,617.00,"59,519","36,951,882.60"
102,2023/07/10,623.10,0.34,633.00,617.00,627.00,"83,233","52,017,003.80"
103,2023/07/09,621.00,3.16,624.00,602.00,602.00,"73,559","45,300,396.40"
104,2023/07/06,602.00,-0.17,615.00,585.00,615.00,"68,144","40,897,566.20"
105,2023/07/05,603.00,-3.37,627.00,601.00,624.00,"96,235","58,653,522.10"
106,2023/07/04,624.00,0.16,635.00,614.00,623.10,"68,639","42,656,793.80"
107,2023/07/03,623.00,-0.64,642.60,618.00,625.00,"125,976","79,339,760.40"
108,2023/07/02,627.00,1.01,645.20,615.00,625.00,"262,138","166,757,292.40"
109,2023/06/28,620.70,1.09,637.00,603.10,620.00,"171,380","106,571,208.90"
110,2023/06/27,614.00,-0.62,623.00,607.00,618.00,"100,341","61,505,208.20"
111,2023/06/26,617.80,-1.31,646.00,612.00,635.00,"160,253","99,697,572.00"
112,2023/06/25,626.00,7.93,630.00,590.00,591.60,"280,107","173,489,853.70"
113,2023/06/22,580.00,2.64,586.50,558.00,576.00,"163,772","94,729,925.60"
114,2023/06/21,565.10,2.56,573.00,545.00,551.00,"138,294","77,613,647.60"
115,2023/06/20,551.00,-2.82,580.00,543.00,567.00,"159,808","89,408,610.30"
116,2023/06/19,567.00,-3.72,600.60,565.00,600.60,"169,985","98,167,450.00"
117,2023/06/18,588.90,8.06,589.00,542.00,544.00,"171,616","98,479,964.40"
118,2023/06/15,545.00,6.03,559.10,506.00,510.00,"116,936","61,732,738.80"
119,2023/06/14,514.00,2.8,533.40,504.00,510.00,"131,392","68,329,091.80"
120,2023/06/13,500.00,2.04,511.00,483.10,483.10,"114,548","57,568,193.00"
121,2023/06/12,490.00,-1.41,500.00,483.00,500.00,"73,031","35,838,680.60"
122,2023/06/11,497.00,2.9,501.00,485.00,485.00,"78,546","38,862,038.50"
123,2023/06/08,483.00,4.09,485.00,455.20,455.20,"74,260","35,216,284.90"
124,2023/06/07,464.00,0.65,469.00,456.80,468.80,"52,090","24,134,564.00"
125,2023/06/06,461.00,3.13,465.00,441.00,447.00,"53,478","24,411,849.10"
126,2023/06/05,447.00,-1.54,460.00,445.10,454.00,"39,404","17,792,738.50"
127,2023/06/04,454.00,4.46,460.00,443.00,443.00,"28,019","12,713,063.80"
128,2023/06/01,434.60,2.26,440.00,417.00,433.50,"33,276","14,383,865.30"
129,2023/05/31,425.00,-4.28,446.00,422.40,437.00,"60,660","26,184,152.00"
130,2023/05/30,444.00,-3.67,455.00,438.00,452.00,"65,840","29,215,612.70"
131,2023/05/28,460.90,-2.14,480.30,460.00,479.80,"66,673","31,109,827.90"
132,2023/05/24,471.00,1.4,474.70,455.50,464.50,"26,524","12,408,898.30"
133,2023/05/23,464.50,4.19,468.00,445.00,449.90,"111,353","51,085,490.10"
134,2023/05/22,445.80,2.96,446.00,426.40,433.00,"56,040","24,425,177.00"
135,2023/05/21,433.00,-0.23,445.90,430.30,434.00,"36,575","15,972,215.20"
136,2023/05/18,434.00,2.6,435.90,423.00,423.00,"27,250","11,734,620.30"
137,2023/05/17,423.00,2.92,424.80,413.00,418.90,"16,646","6,991,241.20"
138,2023/05/16,411.00,-0.72,421.70,407.10,414.00,"12,355","5,104,505.80"
139,2023/05/15,414.00,0,414.90,409.10,412.00,"15,168","6,243,732.00"
140,2023/05/14,414.00,-0.22,424.00,410.00,419.00,"15,570","6,474,892.90"
141,2023/05/11,414.90,0.19,418.00,408.00,414.10,"7,217","2,988,374.80"
142,2023/05/10,414.10,-0.7,418.00,414.10,417.00,"7,875","3,270,781.10"
143,2023/05/09,417.00,0.36,423.00,411.20,415.50,"13,401","5,594,955.80"
144,2023/05/08,415.50,-0.6,418.00,412.40,418.00,"12,442","5,153,755.40"
145,2023/05/07,418.00,-0.52,422.80,415.00,420.20,"8,140","3,390,427.00"
146,2023/05/04,420.20,0.55,434.70,417.10,423.00,"13,563","5,766,087.70"
147,2023/05/03,417.90,-0.5,420.00,414.00,420.00,"6,099","2,536,214.70"
148,2023/05/02,420.00,-0.19,424.90,416.10,423.90,"11,669","4,886,571.60"
149,2023/04/30,420.80,-0.28,424.50,415.00,422.00,"14,085","5,888,746.50"
150,2023/04/27,422.00,-0.73,427.90,420.00,425.10,"18,761","7,914,831.40"
151,2023/04/26,425.10,-0.75,432.40,425.00,425.10,"8,705","3,715,375.10"
152,2023/04/25,428.30,0.54,430.00,420.00,421.10,"25,233","10,694,651.40"
153,2023/04/24,426.00,-0.14,429.90,421.00,426.60,"32,052","13,568,523.20"
154,2023/04/23,426.60,-0.56,432.00,421.00,429.00,"12,449","5,259,790.30"
155,2023/04/20,429.00,-1.38,435.00,427.00,431.00,"7,451","3,193,190.20"
156,2023/04/19,435.00,2.11,435.00,425.10,426.00,"8,040","3,472,550.60"
157,2023/04/18,426.00,-0.93,433.00,424.30,433.00,"8,893","3,789,184.10"
158,2023/04/17,430.00,-1.6,440.00,427.00,440.00,"13,087","5,636,052.10"
159,2023/04/16,437.00,0.69,440.00,431.20,434.00,"9,753","4,239,754.30"
160,2023/04/13,434.00,-1.81,449.00,430.00,445.00,"21,156","9,293,264.30"
161,2023/04/12,442.00,5.24,442.00,425.00,425.00,"26,548","11,606,705.10"
162,2023/04/11,420.00,-0.24,429.30,419.10,429.30,"15,180","6,409,323.60"
163,2023/04/10,421.00,0.24,424.90,418.10,422.00,"19,816","8,354,150.00"
164,2023/04/09,420.00,-2.1,430.40,416.10,422.00,"17,906","7,530,628.30"
165,2023/04/06,429.00,-0.12,435.00,428.70,429.50,"14,437","6,219,858.70"
166,2023/04/05,429.50,0.59,432.00,425.00,427.00,"10,607","4,544,193.90"
167,2023/04/04,427.00,-1.04,438.50,426.10,438.50,"26,860","11,527,622.70"
168,2023/04/03,431.50,-1.24,436.00,429.00,430.10,"12,510","5,401,206.10"
169,2023/04/02,436.90,0.21,452.00,432.70,436.00,"15,253","6,663,819.80"
170,2023/03/30,436.00,0.46,447.90,434.00,440.00,"16,104","7,071,405.00"
171,2023/03/29,434.00,-3.12,446.90,434.00,441.10,"23,434","10,295,781.20"
172,2023/03/28,448.00,0.95,450.90,443.00,443.80,"17,472","7,820,230.50"
173,2023/03/27,443.80,2.26,448.00,427.00,427.00,"15,945","6,962,166.50"
174,2023/03/26,434.00,-1.65,445.00,433.00,441.30,"14,276","6,225,203.40"
175,2023/03/23,441.30,-0.18,448.00,440.10,442.10,"12,334","5,452,913.30"
176,2023/03/22,442.10,-1.34,457.00,442.00,457.00,"25,796","11,599,001.10"
177,2023/03/20,448.10,0.9,455.00,444.20,444.20,"17,402","7,805,998.10"
178,2023/03/19,444.10,-1.53,452.10,444.00,452.10,"14,015","6,248,483.60"
179,2023/03/16,451.00,-0.24,456.00,443.10,443.10,"19,060","8,587,511.20"
180,2023/03/15,452.10,-2.56,468.00,450.00,464.00,"81,950","37,132,630.50"
181,2023/03/14,464.00,0.22,469.00,457.00,463.00,"24,178","11,154,293.00"
182,2023/03/13,463.00,-1.7,479.00,461.60,471.00,"18,443","8,617,762.00"
183,2023/03/12,471.00,-1.63,487.00,471.00,486.50,"32,283","15,409,199.20"
184,2023/03/09,478.80,2.53,479.90,467.00,467.00,"16,104","7,639,464.40"
185,2023/03/07,467.00,1.08,472.00,460.00,462.00,"17,078","7,979,467.70"
186,2023/03/05,462.00,-1.07,475.70,461.30,467.00,"22,983","10,672,185.20"
187,2023/03/02,467.00,-2.14,476.00,467.00,471.00,"36,071","16,927,049.20"
188,2023/03/01,477.20,-1.61,487.00,477.20,484.00,"23,740","11,405,793.20"
189,2023/02/28,485.00,-1.22,493.00,481.30,491.00,"21,115","10,303,848.50"
190,2023/02/27,491.00,0.41,493.00,477.60,493.00,"27,603","13,371,533.90"
191,2023/02/26,489.00,0.8,490.00,462.00,477.00,"49,016","23,522,808.50"
192,2023/02/23,485.10,-2.24,494.90,483.00,491.10,"36,749","17,928,977.20"
193,2023/02/22,496.20,2.1,503.80,485.10,486.00,"33,192","16,416,565.30"
194,2023/02/20,486.00,1,487.90,480.00,480.00,"23,780","11,480,410.60"
195,2023/02/16,481.20,-1.19,489.80,480.40,485.00,"28,057","13,567,725.80"
196,2023/02/15,487.00,-0.23,494.90,486.00,494.90,"28,795","14,081,006.60"
197,2023/02/14,488.10,-0.65,495.00,487.00,490.00,"36,181","17,721,487.80"
198,2023/02/12,491.30,-2.91,504.00,487.00,495.90,"40,248","19,881,638.00"
199,2023/02/09,506.00,0.44,509.00,500.00,500.00,"27,221","13,696,291.40"
200,2023/02/08,503.80,-0.63,519.00,503.80,517.10,"51,613","26,372,943.10"
201,2023/02/07,507.00,4.97,509.40,480.00,480.00,"50,596","25,216,231.80"
202,2023/02/06,483.00,-1.49,491.90,481.20,490.00,"28,038","13,609,416.70"
203,2023/02/05,490.30,-0.95,503.00,490.00,500.00,"45,585","22,592,256.70"
204,2023/02/02,495.00,-1.98,512.00,490.20,512.00,"53,653","26,632,738.30"
205,2023/02/01,505.00,-0.81,512.90,500.20,503.50,"38,506","19,455,974.10"
206,2023/01/31,509.10,-2.06,525.00,502.00,525.00,"132,067","67,135,356.60"
207,2023/01/30,519.80,5.14,543.80,504.20,504.20,"332,697","176,540,086.60"
208,2023/01/29,494.40,9.99,494.40,458.40,458.40,"1,815","894,162.10"
209,2023/01/26,449.50,9.98,449.50,408.70,408.70,"1,160","515,974.00"
210,2023/01/25,408.70,9.99,408.70,379.00,387.00,"1,965","800,489.60"
